"foodCode","foodName"
"onion","양파"
"green_onion","대파"
"garlic","마늘"
"potato","감자"
"carrot","당근"
"cabbage","양배추"
"cucumber","오이"
"pork","돼지고기"
"beef","소고기"
"chicken","닭고기"
"apple","사과"
"banana","바나나"
"tomato","토마토"
"mushroom_enoki","팽이버섯"
"sweet_potato","고구마"
"scallion","쪽파"
"ginger","생강"
"radish","무"
"napa_cabbage","배추"
"broccoli","브로콜리"
"cauliflower","콜리플라워"
"spinach","시금치"
"lettuce","상추"
"perilla_leaf","깻잎"
"zucchini","애호박"
"pumpkin","단호박"
"eggplant","가지"
"paprika","파프리카"
"bell_pepper","피망"
"chili","고추"
"cherry_tomato","방울토마토"
"oyster_mushroom","느타리버섯"
"king_oyster_mushroom","새송이버섯"
"shiitake","표고버섯"
"bean_sprouts","콩나물"
"mung_bean_sprouts","숙주"
"corn","옥수수"
"pear","배"
"tangerine","귤"
"orange","오렌지"
"lemon","레몬"
"grape","포도"
"strawberry","딸기"
"blueberry","블루베리"
"kiwi","키위"
"peach","복숭아"
"plum","자두"
"watermelon","수박"
"melon","멜론"
"pineapple","파인애플"
"mango","망고"
"avocado","아보카도"
"persimmon","감"
"chicken_breast","닭가슴살"
"duck","오리고기"
"minced_beef","다진소고기"
"minced_pork","다진돼지고기"
"pork_belly","삼겹살"
"pork_neck","목살"
"beef_bulgogi","불고기용소고기"
"pork_bulgogi","불고기용돼지고기"
"shrimp","새우"
"squid","오징어"
"octopus","문어"
"salmon","연어"
"tuna","참치"
"mackerel","고등어"
"cutlassfish","갈치"
"clam","조개"
"littleneck_clam","바지락"
"mussel","홍합"
"anchovy","멸치"
"pollack","명태"
"crab","게"
"oyster","굴"
